id_apolice,exposicao,idade_condutor,idade_veiculo,regiao,tipo_veiculo,tipo_uso,nivel_cobertura,classe_bonus,premio_vigente,premio_ganho
1,0.8282,39,8,Sudeste,Utilitario,Particular,Intermediaria,4,498.48,412.84113600000006
2,0.4951,37,2,Sudeste,Picape,Particular,Intermediaria,4,605.82,299.941482
3,0.7483,34,15,Sudeste,SUV,Particular,Basica,5,488.87,365.821421
4,0.8096,46,8,Sudeste,Sedan,Particular,Basica,0,754.28,610.665088
5,0.3195,46,7,Sudeste,SUV,Particular,Completa,3,720.79,230.292405
6,0.9487,38,6,Sul,Picape,Comercial,Completa,2,827.04,784.612848
7,0.2696,44,9,Sudeste,Sedan,Particular,Completa,0,794.87,214.296952
8,0.5091,26,4,Nordeste,Hatch,Comercial,Intermediaria,7,481.72,245.24365200000003
9,0.8978,55,6,Centro-Oeste,Hatch,Particular,Intermediaria,7,404.66,363.30374800000004
10,0.5918,54,6,Nordeste,SUV,Comercial,Completa,1,1015.97,601.251046
11,0.2684,29,8,Sudeste,Sedan,Particular,Basica,5,404.76,108.637584
12,0.3152,52,4,Nordeste,Picape,Particular,Basica,0,587.08,185.047616
13,0.3367,38,12,Nordeste,Hatch,Comercial,Completa,2,845.57,284.703419
14,0.4072,50,20,Sudeste,Hatch,Particular,Basica,10,207.44,84.469568
15,0.7062,46,11,Sudeste,Sedan,Particular,Completa,1,892.61,630.3611820000001
16,0.5711,36,1,Nordeste,SUV,Particular,Intermediaria,5,505.49,288.68533900000006
17,0.2739,54,2,Centro-Oeste,Sedan,Particular,Basica,6,419.49,114.89831099999999
18,0.6368,33,12,Centro-Oeste,Sedan,Particular,Basica,3,485.23,308.99446400000005
19,0.9159,55,4,Sudeste,Hatch,Particular,Intermediaria,0,519.79,476.07566099999997
20,0.2647,38,4,Sudeste,Hatch,Particular,Basica,4,443.47,117.386509
21,0.9312,48,8,Centro-Oeste,Sedan,Comercial,Basica,8,592.3,551.54976
22,0.2915,41,7,Sudeste,Sedan,Particular,Intermediaria,7,440.36,128.36494
23,0.954,65,3,Sudeste,Hatch,Particular,Intermediaria,7,392.76,374.69304
24,0.7474,54,3,Sudeste,SUV,Particular,Completa,3,710.32,530.8931680000001
25,0.4058,44,6,Sul,Sedan,Particular,Basica,5,349.86,141.973188
26,0.5937,35,8,Sudeste,SUV,Particular,Basica,3,653.45,387.95326500000004
27,0.0873,45,3,Sudeste,Hatch,Particular,Intermediaria,0,607.34,53.020782000000004
28,0.7806,38,8,Sudeste,SUV,Comercial,Completa,7,723.37,564.6626219999999
29,0.5971,70,7,Sudeste,SUV,Particular,Intermediaria,5,846.2,505.26601999999997
30,0.2896,49,4,Nordeste,Picape,Particular,Basica,9,322.87,93.50315200000001
31,0.9456,55,1,Centro-Oeste,Hatch,Particular,Completa,0,805.94,762.0968640000001
32,0.6611,47,9,Nordeste,SUV,Particular,Basica,2,421.91,278.924701
33,0.9633,28,6,Sudeste,Sedan,Particular,Intermediaria,1,711.0,684.9063
34,0.8686,64,8,Sul,Sedan,Particular,Completa,6,503.53,437.366158
35,0.4991,45,8,Sul,Utilitario,Particular,Intermediaria,1,673.19,335.989129
