id_sinistro,id_apolice,valor_sinistro
1,24,19787.3
2,24,13099.89
3,41,7555.01
4,99,3316.48
5,117,10905.59
6,122,9364.53
7,183,13624.67
8,280,4753.06
9,363,4095.68
10,381,4103.7
11,432,2072.51
12,432,9493.04
13,447,18025.35
14,454,728.56
15,458,1813.34
16,518,9199.16
17,526,17277.74
18,526,14270.46
19,575,3119.59
20,575,4107.7
21,584,16777.62
22,605,25220.34
23,675,14581.87
24,675,6121.01
25,750,3001.78
26,762,14031.62
27,789,8161.98
28,797,26762.06
29,813,5633.7
30,835,5418.94
31,879,760.18
32,883,19870.26
33,936,7228.14
34,967,8452.03
35,1019,1265.07
36,1057,1167.63
37,1104,502.42
38,1119,30313.27
39,1312,6641.11
40,1334,9607.97
41,1353,535.69
42,1354,8786.77
43,1426,7465.41
44,1478,9563.5
45,1499,4695.46
46,1545,3091.44
47,1745,10634.12
48,1752,5641.72
49,1790,7209.48
50,1797,4996.83
51,1868,20424.95
52,1870,10043.02
53,1896,16882.61
54,1933,9109.07
55,1987,3597.06
56,2053,5483.52
57,2114,6373.0
58,2230,5179.58
59,2304,14563.68
60,2305,1142.81
61,2328,3797.89
62,2334,3414.81
63,2398,4704.02
64,2409,886.88
65,2415,1272.29
66,2462,5303.18
67,2514,12802.31
68,2525,10475.8
69,2534,8030.67
70,2542,7964.99
71,2548,1771.92
72,2575,13575.62
73,2656,3156.53
74,2753,7484.38
75,2791,3079.7
76,2835,25534.66
77,2940,9909.81
78,3017,2296.87
79,3048,8465.03
80,3058,14774.3
81,3061,5121.51
82,3101,8028.88
83,3118,9326.5
84,3176,5144.97
85,3196,9707.33
86,3199,2780.19
87,3299,5927.78
88,3317,5453.55
89,3360,6284.42
90,3390,20708.3
91,3405,7868.2
92,3636,12582.06
93,3665,3356.42
94,3678,3196.66
95,3700,2551.2
96,3711,5205.16
97,3744,10956.96
98,3750,22446.73
99,3771,1907.95
100,3812,9501.91
101,3875,8766.62
102,3935,6564.17
103,3944,5116.85
104,3998,23517.92
105,4019,23953.43
106,4098,11629.05
107,4104,1165.99
108,4158,10821.32
109,4171,3319.53
110,4187,22330.39
111,4210,3132.76
112,4228,7032.33
113,4230,4997.12
114,4271,4757.72
115,4382,7253.16
116,4456,7096.58
117,4475,16387.9
118,4511,32076.32
119,4535,10710.04
120,4634,5285.51
121,4661,11142.91
122,4671,4611.84
123,4702,13556.23
124,4704,12052.16
125,4770,1276.62
126,4854,11357.9
127,4891,15614.86
128,4907,1140.58
129,4992,5737.62
130,5034,9056.55
131,5068,18565.91
132,5130,18142.27
133,5171,21138.32
134,5191,12710.49
135,5222,1140.08
136,5236,1841.72
137,5257,7142.97
138,5287,7809.46
139,5309,7067.95
140,5591,8414.6
141,5636,3663.23
142,5665,8276.42
143,5722,1998.42
144,5745,1874.9
145,5800,12332.33
146,5803,12623.7
147,5899,19693.6
148,5904,15775.3
149,5909,7451.51
150,5982,10376.93
151,6001,12013.12
152,6006,2739.55
153,6024,2478.51
154,6050,19894.22
155,6058,3893.37
156,6085,12459.62
157,6104,13069.26
158,6130,4424.31
159,6135,2775.74
160,6206,10615.1
161,6222,10301.94
162,6330,10798.82
163,6345,9498.49
164,6368,16313.46
165,6410,9337.64
166,6426,3681.03
167,6442,22693.47
168,6444,5658.18
169,6445,4152.07
170,6484,9470.31
171,6509,10032.63
172,6627,13992.98
173,6642,7232.94
174,6642,10706.0
175,6717,9253.06
176,6799,4957.39
177,6827,11319.73
178,6831,6178.18
179,6887,6300.5
180,6905,2177.59
181,6937,1090.8
182,6961,8281.07
183,6968,8788.95
184,7060,1602.34
185,7088,8613.46
186,7102,2363.64
187,7120,3463.77
188,7124,3710.93
189,7156,9237.73
190,7191,10189.22
191,7209,4012.35
192,7229,1116.0
193,7235,1971.48
194,7255,4482.55
195,7281,3271.01
196,7287,5860.61
197,7328,15315.04
198,7351,17356.62
199,7366,11381.94
200,7379,3675.13
201,7440,14607.93
202,7461,12083.66
203,7504,2170.82
204,7513,6697.68
205,7561,5231.18
206,7568,2900.43
207,7575,8266.01
208,7576,8709.2
209,7595,8411.31
210,7626,2976.55
211,7628,2801.42
212,7635,7370.63
213,7725,2156.26
214,7726,8704.51
215,7778,10135.08
216,7799,3600.92
217,7808,6670.38
218,7855,8256.07
219,7862,852.72
220,7901,14668.14
221,8022,1245.08
222,8031,2451.78
223,8060,6045.83
224,8065,3473.61
225,8100,23166.99
226,8117,900.79
227,8179,4064.64
228,8210,2762.66
229,8227,3533.15
230,8246,4915.86
231,8306,3294.96
232,8342,4296.04
233,8345,18187.64
234,8376,13771.15
235,8400,11611.52
236,8432,15012.01
237,8457,10525.56
